symbol,day,pnl,win,tt,near_high,pocket,dryup,dist25,rs_newhi,mkt_a10,mkt_a21,mkt_dist25
CIFR.US,2026-01-05,2.329071117561709,1,6,-34.43949817887495,1,0,0,0,0,0,0
CIFR.US,2026-01-08,3.4330118232731968,1,6,-34.925131525698106,0,0,0,0,1,1,0
CIFR.US,2026-02-19,1.5863785199738092,1,6,-37.59611493322542,0,1,2,0,0,0,6
CIFR.US,2026-02-23,-0.9214621059691476,0,6,-40.71226224200728,0,0,2,0,1,0,6
CIFR.US,2026-03-23,-0.751052104208409,0,5,-43.302306758397414,0,0,0,0,0,0,4
SNDK.US,2026-02-27,-1.566117184831593,0,8,-6.270218976003228,0,0,1,0,1,0,6
SNDK.US,2026-03-02,-3.9368824373383142,0,8,-8.648330002444249,0,0,1,0,0,0,6
SNDK.US,2026-03-04,-1.283322873402443,0,7,-18.70569797702406,0,0,0,0,0,0,7
SNDK.US,2026-03-05,-1.2354241805909882,0,8,-13.867521674742278,0,0,0,0,1,1,7
SNDK.US,2026-03-06,-1.85166652572072,0,7,-18.67981768773993,0,0,0,0,1,0,8
SNDK.US,2026-03-09,11.156765931071256,1,7,-24.180816954465058,0,0,0,0,0,0,8
SNDK.US,2026-03-10,1.932977871517767,1,7,-15.352762720881074,0,0,0,0,1,0,8
SNDK.US,2026-03-12,-0.8744407756586154,0,8,-5.7626777472646,0,0,0,0,1,0,7
SNDK.US,2026-03-13,-1.567134144526472,0,8,-11.02644102888527,0,0,0,0,0,0,6
SNDK.US,2026-03-16,1.452922904941902,1,8,-4.872683354660612,0,0,0,0,0,0,5
SNDK.US,2026-03-18,-0.7382628571030931,0,8,0.0,0,0,0,1,1,0,5
SNDK.US,2026-03-19,8.90403821393058,1,8,0.0,1,0,0,1,0,0,5
SNDK.US,2026-03-24,-2.5291808766578416,0,8,-9.014493129039359,0,0,0,0,0,0,4
SNDK.US,2026-03-26,-2.278219510306188,0,8,-12.204535740652,0,0,0,0,0,0,4
SNDK.US,2026-03-27,0.2859970920874138,1,7,-21.878278439042088,0,0,0,0,0,0,4
SNDK.US,2026-03-31,6.924692976961659,1,6,-25.850613270473655,0,0,0,0,0,0,4
SNDK.US,2026-04-01,3.964968743384866,1,7,-17.71166573845018,0,0,0,0,0,0,4
SNDK.US,2026-04-02,7.044322866935504,1,8,-10.278594464375912,0,0,0,0,1,0,4
SNDK.US,2026-04-06,-1.4801859192665756,0,8,-9.13105985053556,0,0,0,0,1,0,3
SNDK.US,2026-04-07,-1.7840445890961367,0,8,-6.146951780232879,0,1,0,0,1,1,3
SNDK.US,2026-04-08,-2.374309510023386,0,8,-7.938193733891142,0,0,0,0,1,1,3
SNDK.US,2026-04-13,7.95257541686926,1,8,0.0,0,0,0,0,1,1,1
SNDK.US,2026-04-16,-2.9981723876434376,0,8,-6.381102362204727,0,0,0,0,1,1,0
SNDK.US,2026-04-17,-1.4846828179647786,0,8,-3.467716535433063,0,0,0,0,1,1,0
SNDK.US,2026-04-20,-0.9677227012366084,0,8,-3.3081364829396276,1,0,0,0,1,1,0
SNDK.US,2026-04-21,-0.8624437111920673,0,8,-4.144881889763785,0,1,0,0,1,1,0
SNDK.US,2026-04-24,3.312849425684161,1,8,-4.763704331661689,0,0,0,0,1,1,0
SNDK.US,2026-04-27,-2.008361441274761,0,8,0.0,0,0,0,0,1,1,0
SNDK.US,2026-04-28,-1.807377550591201,0,8,0.0,0,0,0,1,1,1,0
SNDK.US,2026-04-29,-1.1877689420384234,0,8,-6.339936460474682,0,0,0,0,1,1,0
SNDK.US,2026-05-01,-1.4232040758923046,0,8,0.0,1,0,0,1,1,1,0
LITE.US,2025-01-29,-0.8379710284966875,0,6,-22.49452082088065,0,0,1,0,1,1,2
LITE.US,2025-01-30,-1.88179302161784,0,6,-22.38493723849372,0,0,1,0,0,1,1
LITE.US,2025-01-31,-0.5180493690493961,0,6,-16.337915919505875,0,0,1,0,1,1,1
LITE.US,2025-02-03,2.7895193238138183,1,6,-15.262004383343285,0,0,1,0,1,1,1
LITE.US,2025-02-04,-0.8229832162836891,0,6,-16.009165172345085,0,0,1,0,0,0,1
LITE.US,2025-02-05,1.072944895597117,1,7,-13.996812113966929,0,0,1,0,1,1,1
LITE.US,2025-02-06,-1.200310668643646,0,8,-11.147638971906748,0,0,1,0,1,1,1
LITE.US,2025-02-07,-5.072850742770191,0,8,-7.680812910938428,0,0,1,0,1,1,1
LITE.US,2025-02-11,-0.8390379409555282,0,6,-18.3801554094441,0,0,2,0,1,1,1
LITE.US,2025-02-12,1.0544845689904885,1,6,-20.70133492727635,0,0,2,0,1,1,1
LITE.US,2025-02-13,-1.991621763375716,0,6,-21.079896393703923,0,1,2,0,1,1,1
LITE.US,2025-02-18,-1.4448071874654145,0,6,-22.614066547120927,0,1,2,0,1,1,1
LITE.US,2025-02-21,-1.4703737874652376,0,6,-23.9489938234708,0,0,2,0,1,1,1
LITE.US,2025-02-24,-1.0109753888538175,0,6,-26.927674835624625,0,0,2,0,0,0,2
LITE.US,2025-02-26,-0.6889671851308611,0,5,-29.876469416218367,0,0,2,0,0,0,3
LITE.US,2025-03-04,-1.2467818614674302,0,4,-34.55867702729627,0,0,2,0,0,0,4
LITE.US,2025-03-14,-1.4349350890690509,0,4,-39.938234708109185,0,0,1,0,0,0,7
LITE.US,2025-03-17,4.52094369418139,1,4,-36.63080294879458,0,0,1,0,0,0,7
LITE.US,2025-03-20,2.52155121186985,1,4,-33.0842797369994,0,0,1,0,0,0,7
LITE.US,2025-03-21,-0.9573342952672584,0,5,-31.430563857342097,0,0,1,0,0,0,7
LITE.US,2025-03-24,2.689385448278249,1,4,-33.64215979278741,0,1,1,0,0,0,7
LITE.US,2025-03-25,-1.2883470575228255,0,5,-26.648734807730623,0,0,1,0,1,1,7
