ticker,src,shade,z
ALAB,recent,深蓝,2.4067509065363764
ALAB,recent,深蓝,2.5298541131822962
ALAB,recent,深蓝,2.5166649549249334
ALAB,recent,浅,2.4326769574617635
ALAB,recent,深蓝,2.3112764853710837
ALAB,recent,深蓝,2.175660659238742
ALAB,recent,深蓝,2.0876034735862286
ALAB,recent,深蓝,1.847980687972232
ALAB,recent,浅,1.6420829094640268
ALAB,recent,浅蓝,1.6165836713717605
ALAB,recent,浅蓝,1.6719942030113992
ALAB,recent,深蓝,1.5793563659323506
ALAB,recent,深蓝,1.4961927065894054
ALAB,recent,深蓝,1.4413341632763947
ALAB,recent,浅,1.5071210878766002
ALAB,recent,深蓝,1.5646050354018388
ALAB,recent,深蓝,1.744271904021103
ALAB,recent,深蓝,2.0117435057536137
ALAB,recent,深蓝,2.1881586536004622
ALAB,recent,深蓝,2.3142306162353883
ALAB,recent,深蓝,2.482355382437849
ALAB,recent,浅蓝,2.548627460710993
ALAB,recent,浅蓝,2.6517553071135196
ALAB,recent,浅,2.7641379004938527
ALAB,recent,深蓝,3.0062934510492583
ALAB,recent,深蓝,3.2087634027794243
ALAB,recent,浅,3.2610500338903674
ALAB,recent,浅蓝,3.3946985898124282
ALAB,recent,浅蓝,3.4558321603603543
ALAB,recent,浅蓝,3.397771496778639
ALAB,recent,浅,3.271436797737388
ALAB,recent,浅蓝,3.0564953743888337
ALAB,recent,浅蓝,2.7676799219125465
ALAB,recent,浅,2.3375132168014217
ALAB,recent,深蓝,1.6810198873557467
ALAB,recent,深蓝,1.0117857881621102
ALAB,recent,浅蓝,0.5540376425376585
ALAB,extrema,浅,-2.0833608481345296
ALAB,extrema,浅蓝,0.17932591197301778
ALAB,extrema,浅,-0.7179075078008159
ALAB,extrema,深蓝,0.4640735924193345
ALAB,extrema,浅,-0.06807127779371466
ALAB,extrema,深蓝,3.4558321603603543
ALAB,extrema,浅,1.4413341632763947
ALAB,extrema,浅蓝,2.5298541131822962
AMD,gmax,亮蓝,3.514221765129537
AMD,gmin,深红,-1.6540226310158104
AMD,recent,浅,0.9690570587266197
AMD,recent,浅,1.0533008597350375
AMD,recent,浅,1.1468353645805367
AMD,recent,浅红,1.2768905995844677
AMD,recent,浅,1.2556556768278306
AMD,recent,浅,1.225069123532055
AMD,recent,浅红,1.2059724321645133
AMD,recent,浅,1.2166896378482437
AMD,recent,深蓝,1.2515733498809158
AMD,recent,深蓝,1.297147861625663
AMD,recent,浅,1.36970155808312
AMD,recent,深蓝,1.3942277365430216
AMD,recent,深蓝,1.4953812793594792
AMD,recent,深蓝,1.5260651685502582
AMD,recent,浅,1.6039614431865519
AMD,recent,亮蓝,1.7788103113124845
AMD,recent,亮蓝,1.9911684064710073
AMD,recent,亮蓝,2.1944984016644877
AMD,recent,亮蓝,2.2986175551051553
AMD,recent,亮蓝,2.4287305048759475
AMD,recent,亮蓝,2.519058949721597
AMD,recent,深蓝,2.6140081437620486
AMD,recent,深蓝,2.617015936317762
AMD,recent,浅,2.773266177309703
AMD,recent,浅蓝,2.8301412526532324
AMD,recent,浅,2.9518848228578842
AMD,recent,浅,3.152462656156391
AMD,recent,亮蓝,3.144841687859137
AMD,recent,亮蓝,3.1094574217648216
AMD,recent,亮蓝,3.152549201544519
AMD,recent,亮蓝,3.273009820627579
AMD,recent,亮蓝,3.457872292336201
AMD,recent,亮蓝,3.4305453934261627
AMD,recent,亮蓝,3.4713624773292504
AMD,extrema,深红,-1.1492564903795939
AMD,extrema,亮红,0.3836669926178981
AMD,extrema,浅红,-1.0367700943255473
AMD,extrema,亮红,-0.2175354011593436
AMD,extrema,浅,-1.6540226310158104
AMD,extrema,深蓝,0.7344352650626688
AMD,extrema,浅,-0.06067738584647395
AMD,extrema,亮蓝,3.514221765129537
AXTI,gmax,亮蓝,4.3793527449199425
AXTI,gmin,深红,-2.0152336066596503
AXTI,recent,浅红,-1.2078888265592251
AXTI,recent,深蓝,-0.9186551129097424
AXTI,recent,深蓝,-0.6755937660277116
AXTI,recent,深蓝,-0.4070193042145983
AXTI,recent,亮蓝,-0.2037594981731865
