symbol,strategy,filled,phantom_rate_pct,win_rate,pf,cum_pct,max_dd,avg_pnl,recency_avg_pnl,recency_win_rate,recency_pf,last_90d_n,last_90d_win,last_90d_pf,last_90d_cum_pct,last_180d_n,last_180d_win,last_180d_pf,last_180d_cum_pct,n_tp,n_stop,composite_score,passes_filter,filter_fail_reasons
NVDL.US,ORB5_Z,164,0.0,29.3,0.85,-27.28,-39.96,-0.163,0.034,28.3,1.03,29,31.0,1.3,7.23,56,23.2,0.85,-10.51,2,105,-0.072,False,近期PF<1.1|近半年PF<1.0
NVDL.US,ORB15_VWAP,36,78.9,38.9,0.53,-12.4,-12.4,-0.355,-0.563,35.2,0.41,6,33.3,0.29,-4.62,14,35.7,0.6,-5.59,1,10,-0.472,False,近期PF<1.1|近半年PF<1.0
NVDL.US,VWAP_PB,34,48.5,29.4,0.63,-7.3,-8.84,-0.217,0.026,31.6,1.06,6,33.3,1.77,1.36,10,30.0,0.98,-0.17,5,23,-0.036,False,近期PF<1.1|近半年PF<1.0
NVDL.US,VWAP_MR,223,0.0,46.6,0.79,-24.61,-30.08,-0.117,-0.114,47.1,0.76,41,53.7,0.97,-0.74,79,44.3,0.65,-14.17,67,75,-0.134,False,近期PF<1.1|近半年PF<1.0
NVDL.US,EMA_X,138,0.0,50.0,1.1,5.54,-11.96,0.048,-0.064,44.2,0.87,23,30.4,0.36,-8.68,47,46.8,1.11,2.2,27,55,-0.008,False,近期PF<1.1
NVDL.US,DC20,121,42.9,41.3,0.87,-8.31,-16.5,-0.065,-0.003,47.7,0.99,22,40.9,0.83,-1.6,37,51.4,1.21,2.35,11,48,0.005,False,近期PF<1.1
NVDL.US,TTM_SQ,237,0.0,35.0,0.72,-34.89,-36.72,-0.172,-0.182,37.3,0.64,38,36.8,0.52,-8.51,75,38.7,0.72,-10.0,42,127,-0.165,False,近期PF<1.1|近半年PF<1.0
NVDL.US,ST_10_3,63,0.0,34.9,0.71,-7.8,-10.72,-0.125,-0.072,42.4,0.82,13,46.2,0.66,-1.65,31,45.2,0.88,-1.74,8,31,-0.078,False,近期PF<1.1|近半年PF<1.0
TSLZ.US,ORB5_Z,70,0.0,31.4,1.06,0.6,-27.6,0.08,0.185,30.9,1.18,16,31.2,1.23,2.9,16,31.2,1.23,2.9,2,44,0.163,True,
TSLZ.US,ORB15_VWAP,34,50.7,55.9,1.88,25.78,-9.58,0.716,1.62,74.9,4.03,7,85.7,6.1,16.67,7,85.7,6.1,16.67,6,6,1.668,True,
TSLZ.US,VWAP_PB,20,16.7,50.0,2.12,11.74,-3.25,0.571,0.132,39.1,1.2,1,0.0,0.0,-1.17,1,0.0,0.0,-1.17,8,8,-0.171,False,近半年PF<1.0
TSLZ.US,VWAP_MR,101,0.0,49.5,0.95,-5.8,-16.95,-0.042,-0.133,53.3,0.82,20,60.0,0.89,-1.7,20,60.0,0.89,-1.7,28,28,-0.1,False,近期PF<1.1|近半年PF<1.0
TSLZ.US,EMA_X,80,0.0,43.8,0.89,-8.43,-21.46,-0.091,0.039,48.8,1.07,17,52.9,1.2,1.43,17,52.9,1.2,1.43,20,27,0.027,False,近期PF<1.1
TSLZ.US,DC20,58,34.8,44.8,1.14,4.84,-10.98,0.102,0.223,51.1,1.52,9,55.6,2.29,2.71,9,55.6,2.29,2.71,7,16,0.222,True,
TSLZ.US,TTM_SQ,100,0.0,45.0,1.09,4.9,-13.64,0.066,0.131,50.5,1.27,31,51.6,1.35,4.31,31,51.6,1.35,4.31,20,39,0.12,True,
TSLZ.US,ST_10_3,16,0.0,18.8,0.15,-10.3,-10.68,-0.674,-0.528,20.7,0.19,14,21.4,0.21,-6.79,14,21.4,0.21,-6.79,0,10,-0.544,False,成交<20|近期PF<1.1|近半年PF<1.0
NVDS.US,ORB5_Z,83,0.0,28.9,1.44,28.55,-14.12,0.342,-0.221,24.2,0.71,4,25.0,0.22,-2.3,4,25.0,0.22,-2.3,1,54,-0.215,False,近期PF<1.1|近半年PF<1.0
NVDS.US,ORB15_VWAP,17,77.3,47.1,1.42,5.57,-5.18,0.354,-0.615,23.4,0.46,1,0.0,0.0,-1.59,1,0.0,0.0,-1.59,3,7,-0.714,False,成交<20|近期PF<1.1|近半年PF<1.0
NVDS.US,VWAP_PB,11,56.0,27.3,0.73,-1.48,-3.21,-0.131,-0.287,10.5,0.35,1,0.0,0.0,-0.43,1,0.0,0.0,-0.43,3,7,-0.299,False,成交<20|近期PF<1.1|近半年PF<1.0
NVDS.US,VWAP_MR,129,0.0,38.8,0.76,-13.18,-13.73,-0.104,-0.149,37.0,0.61,11,36.4,0.45,-2.21,11,36.4,0.45,-2.21,32,50,-0.156,False,近期PF<1.1|近半年PF<1.0
NVDS.US,EMA_X,58,0.0,39.7,0.65,-10.98,-12.12,-0.195,0.018,52.8,1.05,1,100.0,inf,0.69,1,100.0,inf,0.69,20,32,0.177,False,近期PF<1.1
NVDS.US,DC20,51,51.9,41.2,1.35,6.17,-5.36,0.124,0.239,55.7,2.0,1,100.0,inf,0.65,1,100.0,inf,0.65,11,20,0.339,True,
NVDS.US,TTM_SQ,108,0.0,37.0,0.73,-12.65,-14.92,-0.121,-0.006,42.5,0.98,6,50.0,1.93,0.71,6,50.0,1.93,0.71,27,60,0.008,False,近期PF<1.1
NVDS.US,ST_10_3,38,0.0,39.5,0.96,-0.86,-5.95,-0.018,-0.008,48.9,0.96,6,50.0,0.89,-0.11,6,50.0,0.89,-0.11,8,19,-0.013,False,近期PF<1.1|近半年PF<1.0
SOXS.US,ORB5_Z,96,0.0,21.9,0.87,-18.72,-39.27,-0.166,-0.422,18.2,0.67,0,,,,0,,,,5,71,-0.244,False,近期PF<1.1
SOXS.US,ORB15_VWAP,18,76.3,44.4,0.64,-6.73,-9.09,-0.368,-0.357,43.8,0.64,0,,,,0,,,,1,6,-0.252,False,成交<20|近期PF<1.1
SOXS.US,VWAP_PB,14,46.2,42.9,1.26,1.95,-3.88,0.15,-0.128,33.3,0.83,0,,,,0,,,,4,7,-0.034,False,成交<20|近期PF<1.1
SOXS.US,VWAP_MR,131,0.0,41.2,0.55,-33.93,-34.75,-0.307,-0.26,43.3,0.58,0,,,,0,,,,36,42,-0.191,False,近期PF<1.1
SOXS.US,EMA_X,79,0.0,38.0,0.74,-15.43,-19.66,-0.198,-0.192,35.2,0.75,0,,,,0,,,,21,34,-0.136,False,近期PF<1.1
SOXS.US,DC20,53,47.0,37.7,1.05,0.78,-9.36,0.026,0.042,39.4,1.08,0,,,,0,,,,7,18,0.026,False,近期PF<1.1
SOXS.US,TTM_SQ,123,0.0,40.7,1.02,-0.27,-14.05,0.013,-0.02,38.0,0.97,0,,,,0,,,,29,60,-0.007,False,近期PF<1.1
SOXS.US,ST_10_3,34,0.0,23.5,0.37,-20.12,-21.6,-0.636,-0.689,27.5,0.39,0,,,,0,,,,2,17,-0.472,False,近期PF<1.1
HOOD.US,ORB5_Z,184,0.0,33.7,1.12,14.19,-26.47,0.108,-0.219,28.5,0.76,28,32.1,0.68,-9.23,53,26.4,0.66,-16.02,1,109,-0.179,False,近期PF<1.1|近半年PF<1.0
HOOD.US,ORB15_VWAP,33,81.5,51.5,0.96,-1.1,-9.84,-0.024,-0.228,57.8,0.63,6,50.0,0.45,-2.88,8,50.0,0.42,-3.55,2,7,-0.252,False,近期PF<1.1|近半年PF<1.0
