ticker,sector,rank,entry,cta,exit,score,win_rate,ret_1m,ret_3m,ret_ytd,cagr_1y,dd_1y
IREN,🪙 加密/Fintech,1,vol_surge,smh,rsi80,2.57,82.4,0.0,0.0,0.0,139.0,-18.9
IREN,🪙 加密/Fintech,2,bb_lo,combo,rsi_fade,2.44,66.7,12.1,18.7,58.0,104.3,-31.5
IREN,🪙 加密/Fintech,3,rsi35,qqq,rsi80,1.47,69.0,11.7,32.9,50.1,56.1,-30.8
PLTR,💼 软件/AI数据,1,bb_lo,smh,ema_x,2.56,61.5,0.0,0.0,0.0,3.9,-0.7
PLTR,💼 软件/AI数据,2,ma5200,smh,ema_x,1.02,43.6,0.0,-5.0,-5.3,60.0,-25.3
PLTR,💼 软件/AI数据,3,rsi28,smh,ma_x,0.85,80.8,0.0,0.0,0.0,14.3,-9.7
EOSE,🔋 电池/稀土,1,ema_cross,none,trail_8,2.55,69.2,0.0,1.2,21.7,45.8,-7.9
EOSE,🔋 电池/稀土,2,dc20+cmf,none,rsi_fade,1.55,50.0,0.0,0.0,0.0,65.2,-18.0
EOSE,🔋 电池/稀土,3,dc20|ema,soft,trail_12,1.61,31.7,1.0,-3.3,16.2,116.8,-27.3
AME,🏭 工业/航天制造,1,dc20,none,trail_8,2.54,53.6,2.3,5.5,10.5,33.8,-8.5
AME,🏭 工业/航天制造,2,vol_surge,smh,rsi_fade,2.32,56.9,0.0,2.9,5.1,23.9,-6.9
AME,🏭 工业/航天制造,3,bb_lo,none,rsi_fade,2.04,80.0,8.2,3.7,3.7,24.8,-7.8
CBOE,💰 金融,1,bb_lo,smh,rsi70,2.54,92.6,0.0,0.0,3.6,13.7,-3.1
CBOE,💰 金融,2,rsi35,smh,rsi_fade,2.54,77.9,0.0,1.5,1.5,11.0,-2.5
CBOE,💰 金融,3,mfi_os,soxx,rsi80,2.44,75.0,5.9,5.9,5.9,6.2,-1.7
CRM,💼 软件/AI数据,1,vol+ema,soxx,rsi80,2.52,75.0,0.0,0.0,0.0,2.0,-0.5
CRM,💼 软件/AI数据,2,vol_surge,smh,rsi_fade,1.41,56.9,0.0,0.0,0.0,16.3,-12.8
CRM,💼 软件/AI数据,3,bb_lo,smh,rsi80,1.98,75.8,0.0,0.0,0.0,23.2,-8.7
MS,💰 金融,1,dc20,none,trail_8,2.52,48.6,7.1,-1.1,6.5,59.1,-7.8
MS,💰 金融,2,ema20_dip,qqq,ma_x,1.93,50.0,18.8,-0.7,6.9,62.6,-18.8
MS,💰 金融,3,bb_lo,none,rsi_fade,0.91,77.1,10.6,-0.2,-0.2,26.0,-15.3
TRV,💰 金融,1,bb_lo,soft,trail_12,2.51,77.8,1.2,9.9,9.8,23.8,-6.4
TRV,💰 金融,2,dc20,none,ma_x,1.87,75.5,0.5,11.3,4.1,22.4,-8.9
TRV,💰 金融,3,mfi_os,none,rsi80,1.25,83.9,1.2,5.0,0.9,8.2,-4.6
OKLO,🪙 加密/Fintech,1,vol_surge,none,trail_8,2.51,42.4,13.7,13.7,17.7,132.7,-20.8
OKLO,🪙 加密/Fintech,2,rsi28,soft,ma_x,2.35,67.6,0.4,6.9,32.9,69.9,-20.3
OKLO,🪙 加密/Fintech,3,bb_lo,none,trail_8,0.96,64.3,6.7,8.3,8.3,8.3,-9.3
LLY,🏥 消费/健康,1,rsi28,smh,rsi80,2.48,81.6,6.3,4.7,4.7,31.4,-5.8
LLY,🏥 消费/健康,2,vol_surge,smh,ema_x,1.95,44.8,0.0,-3.0,-6.8,31.4,-11.5
